,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,newyorkknicks,milwaukeebucks,136,134,2,Milwaukee,8.5,230,1,1,1201,-3.5,1.1,-16.97,-9.3,8.5,-17.8,-3.7,0.01,-0.09,-0.05,-0.06,0.4,1.3,0.01,0.03,0.2,-4.2,0.04
1,detroitpistons,goldenstatewarriors,111,102,9,GoldenState,4.5,229.5,1,0,1201,-1.5,-0.27,-6.98,-6.9,-0.3,-6.6,-3.5,0.04,0.01,-0.05,-0.06,-0.3,2.3,0.01,0.02,1.1,1.6,0.01
2,washingtonwizards,brooklynnets,102,88,14,Washington,-6.5,227.5,1,0,1201,1.1,-0.07,-2.9,1.5,4.2,-2.7,0.6,-0.02,-0.03,0.01,0.01,-0.7,-2.5,-0.01,0.03,1.9,-2.3,0.01
3,clevelandcavaliers,torontoraptors,95,106,-11,Toronto,12.5,213,1,0,1201,-2.1,0.82,-14.88,-5.4,10.5,-15.9,-3.6,-0.01,-0.05,-0.04,-0.04,-0.2,1.8,-0.01,0.06,-1.6,-0.1,-0.01
4,houstonrockets,chicagobulls,121,105,16,Houston,-13.5,219,1,1,1201,5.2,0.09,13.28,10.7,-2.5,13.2,-1.1,0.04,0.22,0.04,0.04,-0.7,3.4,0.04,-0.02,1.5,-2.9,0.02
5,minnesotatimberwolves,bostonceltics,109,118,-9,Minnesota,-1.5,216.5,0,1,1201,0.5,1.02,-4.92,-0.8,5.1,-5.9,0.6,0.05,-0.07,-0.01,-0.02,-0.1,3.0,0.04,0.02,-0.5,-2.1,-0.01
6,sacramentokings,indianapacers,111,110,1,Indiana,1.5,225,1,0,1201,-2.2,0.88,-3.57,0.5,5.0,-4.5,5.0,0.0,0.03,-0.01,-0.01,-0.9,1.2,-0.01,0.02,-0.5,-0.7,0.02
7,lalakers,phoenixsuns,120,96,24,LALakers,-12.0,221,1,0,1202,2.2,-0.34,7.28,1.9,-5.6,7.5,2.7,-0.0,0.01,0.0,0.01,-0.4,1.7,-0.02,-0.03,-1.3,3.9,-0.04
8,charlottehornets,neworleanspelicans,109,119,-10,Charlotte,-3.0,232.5,0,0,1202,0.9,-0.45,-0.22,0.0,-0.1,0.1,-4.6,0.0,0.05,-0.01,-0.01,-1.7,-2.4,0.01,0.01,0.5,0.3,-0.01
9,miamiheat,utahjazz,102,100,2,Utah,4,208.5,1,0,1202,-0.3,-0.25,-5.73,-3.6,1.9,-5.5,-2.1,-0.05,-0.03,-0.03,-0.02,-0.3,1.9,-0.04,0.0,0.3,-2.7,0.01
