,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,clevelandcavaliers,washingtonwizards,85,97,-12,Cleveland,-8.5,204.5,0,0,1201,0.8,-0.55,5.95,5.6,-1.3,6.9,-5.2,-0.0,0.07,0.01,0.01,-0.4,4.5,0.0,-0.02,-2.0,0.8,-0.01
1,philadelphia76ers,lalakers,103,91,12,Philadelphia,-2.0,195,1,0,1201,-3.2,-0.33,-1.0,-2.8,-2.4,-0.4,2.3,-0.02,0.04,0.01,0.03,2.3,-2.5,-0.04,-0.01,1.9,-0.7,0.04
2,brooklynnets,phoenixsuns,94,91,3,Phoenix,4,208,1,0,1201,0.9,-0.1,-0.8,1.0,1.9,-0.9,-3.3,-0.03,-0.08,0.0,0.01,-1.6,-1.3,-0.02,0.01,-0.4,-1.4,-0.06
3,minnesotatimberwolves,orlandomagic,93,96,-3,Minnesota,-1.0,203,0,0,1201,0.7,0.21,-1.7,1.4,3.3,-1.9,-0.8,0.1,-0.05,0.02,-0.0,1.1,1.2,0.09,0.01,-0.2,-1.8,-0.01
4,neworleanspelicans,memphisgrizzlies,104,113,-9,NewOrleans,-1.0,201.5,0,1,1201,-3.9,0.13,-1.42,0.2,1.7,-1.5,3.5,-0.04,0.06,0.01,0.02,0.0,-4.1,-0.03,0.01,-2.5,3.7,-0.03
5,portlandtrailblazers,dallasmavericks,112,115,-3,Portland,-1.5,201,0,1,1201,-6.0,-0.14,1.0,2.1,1.0,1.1,1.7,0.0,-0.01,0.0,0.01,1.2,5.3,-0.01,-0.0,-0.7,0.0,0.03
6,charlottehornets,goldenstatewarriors,99,116,-17,GoldenState,9,208.5,0,1,1202,-1.4,0.02,-8.02,-7.4,0.5,-7.9,-3.6,0.03,-0.01,-0.05,-0.06,-1.8,-3.5,0.03,0.02,-0.1,3.8,-0.02
7,washingtonwizards,lalakers,104,108,-4,Washington,-10.0,203.5,0,1,1202,0.8,-0.64,8.42,3.7,-5.8,9.5,2.9,-0.03,-0.01,0.04,0.05,0.6,-2.5,-0.04,-0.01,3.0,3.0,0.02
8,detroitpistons,phoenixsuns,127,122,5,Detroit,-3.5,203.5,1,1,1202,-1.0,-0.52,6.75,3.9,-3.5,7.4,-3.4,0.03,0.0,-0.0,0.0,-3.0,1.6,-0.01,-0.02,-1.0,2.2,-0.04
9,newyorkknicks,philadelphia76ers,99,87,12,NewYork,-8.5,191,1,0,1202,3.9,-0.31,7.18,5.8,-1.6,7.4,-4.5,-0.01,-0.07,0.01,-0.0,-2.2,3.1,0.02,-0.02,-3.0,1.8,-0.04
10,atlantahawks,torontoraptors,86,96,-10,Atlanta,-4.0,196.5,0,0,1202,1.9,0.3,-0.59,-4.9,-3.8,-1.1,4.2,-0.09,0.05,0.0,0.01,1.5,-5.5,-0.07,-0.02,1.7,-3.1,-0.01
11,chicagobulls,denvernuggets,99,90,9,Chicago,-9.5,197,0,0,1202,2.9,-0.28,1.35,-0.6,-2.4,1.8,0.0,-0.04,-0.03,-0.01,-0.0,-0.6,-1.3,-0.03,-0.03,-1.9,-2.4,-0.03
12,houstonrockets,neworleanspelicans,108,101,7,Houston,-3.5,215.5,1,0,1202,1.2,-0.1,3.9,2.7,-1.4,4.1,0.8,0.09,0.09,0.02,0.02,1.9,4.5,0.04,-0.01,2.0,-6.0,-0.01
13,sanantoniospurs,milwaukeebucks,95,70,25,SanAntonio,-12.0,187,1,0,1202,6.8,-0.56,14.26,6.0,-9.7,15.7,-0.4,-0.03,0.03,0.03,0.03,-1.8,-1.9,-0.01,-0.03,-0.1,6.0,-0.04
14,laclippers,indianapacers,91,103,-12,Indiana,2,202,0,0,1202,2.8,-0.06,2.51,3.7,0.9,2.8,-0.8,0.05,0.05,0.02,0.03,-1.4,-3.3,0.01,-0.01,-0.5,-2.2,0.02
