,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,bostonceltics,clevelandcavaliers,90,85,5,Boston,-6.0,182.5,0,0,1028,1.2,0.18,-1.24,-1.9,-0.1,-1.8,1.7,0.02,-0.04,0.01,0.01,2.5,0.2,0.01,0.0,0.5,1.0,0.03
1,chicagobulls,milwaukeebucks,108,95,13,Chicago,-6.0,198,1,1,1028,-1.4,-0.09,0.72,1.7,0.8,0.9,0.5,-0.01,-0.02,0.01,0.01,0.2,0.2,0.0,-0.01,-2.5,-3.1,-0.08
2,lalakers,portlandtrailblazers,96,76,20,LALakers,-8.0,195,1,0,1028,3.4,-0.2,2.11,-1.1,-3.1,2.0,7.7,-0.01,-0.02,0.0,0.0,-0.2,-3.2,-0.0,-0.01,1.0,-2.0,-0.01
3,philadelphia76ers,torontoraptors,84,95,-11,Philadelphia,-5.0,187.5,0,0,1029,-0.9,-0.19,2.7,0.9,-2.2,3.1,-2.0,0.06,-0.03,-0.01,-0.01,0.6,7.3,0.02,-0.0,2.3,-2.3,0.01
4,washingtonwizards,newjerseynets,85,95,-10,Washington,-5.5,190.5,0,0,1029,1.2,0.35,-4.67,-2.9,2.6,-5.5,1.1,-0.01,-0.09,-0.02,-0.02,0.5,2.5,-0.01,0.02,0.3,-2.1,-0.04
5,orlandomagic,atlantahawks,85,99,-14,Orlando,-8.0,202.5,0,0,1029,1.5,-0.34,4.78,-0.1,-5.7,5.6,2.7,0.03,0.08,0.01,0.02,0.9,-2.0,0.01,-0.03,-0.9,4.3,-0.0
6,newyorkknicks,miamiheat,120,115,5,NewYork,-2.0,209.5,1,1,1029,0.1,0.05,-2.82,0.3,3.2,-2.9,6.8,-0.01,0.08,0.0,0.0,0.8,-0.2,-0.0,0.02,-1.5,-0.2,-0.04
7,sanantoniospurs,phoenixsuns,98,103,-5,Phoenix,1,185,0,1,1029,0.9,-0.09,1.74,-5.1,-7.3,2.2,-7.6,-0.09,0.03,-0.04,-0.03,-2.7,-5.6,-0.06,-0.02,-1.1,6.3,-0.04
8,oklahomacitythunder,milwaukeebucks,87,98,-11,OklahomaCity,-4.5,200,0,0,1029,-1.8,-0.15,-5.16,-3.8,1.5,-5.3,1.0,0.0,-0.07,-0.01,-0.01,1.7,0.8,0.0,0.01,-2.6,-0.1,-0.1
9,minnesotatimberwolves,sacramentokings,98,96,2,Minnesota,-6.0,200,0,0,1029,-0.9,0.02,3.86,0.6,-3.3,3.9,-2.6,-0.03,-0.01,-0.02,-0.01,-1.0,3.2,-0.03,-0.01,-1.0,5.1,-0.01
10,detroitpistons,indianapacers,100,94,6,Detroit,-10.5,188,0,1,1029,1.7,-0.22,0.4,-0.7,-1.2,0.5,-9.8,0.01,-0.08,-0.02,-0.02,-1.4,2.5,-0.0,-0.01,-1.0,-0.5,-0.02
11,houstonrockets,memphisgrizzlies,82,71,11,Houston,-12.5,192,0,0,1029,4.6,-0.51,8.96,4.9,-5.5,10.4,0.1,-0.04,0.08,0.01,0.01,-1.2,0.6,-0.01,-0.04,-2.2,1.8,-0.06
