,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,sanantoniospurs,portlandtrailblazers,106,97,9,SanAntonio,-13.0,189.5,0,1,1030,7.3,-0.14,5.62,-0.1,-6.6,6.5,0.9,-0.01,0.03,0.01,0.01,0.0,-3.4,-0.01,-0.01,0.7,5.3,-0.01
1,goldenstatewarriors,utahjazz,96,117,-21,GoldenState,-1.0,212,0,1,1030,0.2,0.18,-4.48,-2.0,3.0,-5.0,5.6,-0.07,0.13,-0.03,-0.02,-2.1,-2.3,-0.06,0.01,-0.3,-3.8,-0.04
2,lalakers,houstonrockets,93,95,-2,Houston,5,199,1,0,1030,-1.6,-0.06,2.51,6.2,3.9,2.3,5.2,0.06,0.0,0.04,0.03,-0.1,-2.8,0.06,0.02,0.1,-1.4,0.0
3,indianapacers,washingtonwizards,119,110,9,Washington,1.5,203.5,1,1,1031,-0.5,-0.18,-1.26,-3.2,-2.1,-1.1,8.2,-0.01,0.05,0.01,0.01,1.0,-4.5,-0.01,-0.01,0.6,1.1,0.05
4,orlandomagic,milwaukeebucks,102,83,19,Orlando,-6.5,197,1,0,1031,0.9,-0.65,11.71,6.0,-7.3,13.3,2.1,0.06,0.13,0.05,0.06,-0.1,-6.6,0.04,-0.04,-0.7,1.8,-0.03
5,torontoraptors,philadelphia76ers,106,97,9,Toronto,-6.5,191,1,1,1031,1.0,-0.21,2.28,3.8,1.0,2.8,-0.2,-0.07,0.07,0.03,0.03,-2.0,-8.4,-0.03,0.0,-1.6,3.0,0.0
6,newjerseynets,chicagobulls,112,103,9,NewJersey,-1.5,186,1,1,1031,1.7,0.02,-1.96,0.1,2.2,-2.1,-1.5,0.05,0.03,0.01,0.01,0.8,-2.3,0.03,0.0,-1.5,0.7,0.01
7,clevelandcavaliers,dallasmavericks,74,92,-18,Dallas,2.5,184,0,0,1031,-1.8,-0.33,-5.23,-5.1,0.3,-5.4,0.0,-0.01,0.02,-0.03,-0.02,0.8,3.7,-0.04,0.02,1.2,0.9,-0.01
8,memphisgrizzlies,sanantoniospurs,101,104,-3,SanAntonio,6.5,201,1,1,1031,-6.9,0.14,-10.86,-2.2,9.6,-11.8,6.5,0.04,0.01,-0.0,-0.0,1.4,0.4,0.01,0.04,-0.6,-3.7,-0.01
9,neworleanshornets,sacramentokings,104,90,14,NewOrleans,-9.5,190.5,1,1,1031,-0.2,-0.22,7.32,4.0,-4.2,8.2,-4.8,-0.1,0.03,-0.01,0.01,-3.4,1.8,-0.08,-0.01,-0.4,3.7,-0.07
10,denvernuggets,seattlesupersonics,120,103,17,Denver,-11.5,217.5,1,1,1031,3.1,-0.69,11.78,9.5,-3.2,12.7,3.4,0.09,0.09,0.05,0.04,-1.4,-1.3,0.07,-0.0,2.2,-1.6,-0.01
11,miamiheat,detroitpistons,80,91,-11,Detroit,4,178.5,0,0,1101,-0.9,0.83,-15.2,-10.9,7.1,-18.0,2.9,0.0,0.01,-0.02,-0.01,3.0,-7.3,-0.01,0.04,0.2,-1.8,0.0
12,utahjazz,houstonrockets,95,106,-11,Utah,-3.0,193,0,1,1101,-3.0,-0.16,2.03,7.0,4.9,2.1,2.8,0.07,-0.09,0.04,0.04,0.6,0.4,0.07,0.04,2.2,-0.7,0.08
13,seattlesupersonics,phoenixsuns,99,106,-7,Phoenix,12,224.5,1,0,1101,-3.9,0.63,-13.18,-12.8,1.4,-14.2,-0.4,-0.03,-0.13,-0.08,-0.08,0.9,4.4,-0.02,0.01,0.1,2.8,0.02
14,charlottebobcats,milwaukeebucks,102,99,3,Charlotte,-4.0,196.5,0,1,1102,0.5,-0.08,2.43,-0.7,-3.4,2.7,0.5,0.03,0.03,0.01,0.01,0.2,-4.4,0.01,-0.02,0.4,-2.0,-0.01
15,indianapacers,miamiheat,87,85,2,Indiana,-6.5,192,0,0,1102,-0.7,-0.57,6.66,5.5,-2.5,8.0,7.5,-0.01,0.07,0.02,0.02,-0.9,2.3,0.01,-0.01,0.5,2.0,0.03
16,orlandomagic,detroitpistons,92,116,-24,Orlando,-4.0,183.5,0,1,1102,-1.6,0.04,-1.88,-0.1,2.6,-2.7,6.1,0.06,0.12,0.04,0.04,2.2,-6.0,0.03,0.01,-1.1,1.1,-0.03
17,atlantahawks,dallasmavericks,101,94,7,Dallas,5.5,191,1,1,1102,-4.7,-0.57,-6.93,-4.2,2.8,-7.0,0.9,0.02,-0.05,-0.02,-0.02,1.7,3.0,0.0,0.03,1.2,-3.3,-0.04
18,clevelandcavaliers,newyorkknicks,110,106,4,Cleveland,-6.0,186,0,1,1102,1.4,-0.23,6.02,1.3,-5.5,6.8,-1.4,-0.0,0.02,0.0,0.01,-0.3,1.8,-0.01,-0.02,0.8,3.2,0.01
19,newjerseynets,torontoraptors,69,106,-37,NewJersey,-4.0,193.5,0,0,1102,1.1,0.35,-7.62,-6.2,2.4,-8.6,1.3,0.1,0.01,-0.02,-0.03,2.8,3.2,0.06,-0.01,-0.8,-1.2,0.07
20,bostonceltics,washingtonwizards,103,83,20,Boston,-7.5,205.5,1,0,1102,0.7,-0.67,9.91,1.0,-10.7,11.7,1.4,0.05,0.01,0.03,0.03,2.2,-2.3,0.03,-0.06,1.7,1.6,0.04
