,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,clevelandcavaliers,portlandtrailblazers,117,118,-1,Cleveland,-1.5,193,0,1,1201,-0.3,-0.84,-2.34,-1.5,0.2,-1.7,0.9,0.01,-0.06,-0.02,-0.03,-0.9,2.8,0.01,0.01,1.9,-0.7,0.04
1,miamiheat,brooklynnets,102,89,13,Miami,-8.0,192.5,1,0,1201,1.7,-0.31,5.78,4.1,-2.5,6.6,1.9,-0.0,0.02,0.05,0.05,-0.3,-8.7,0.01,-0.02,1.7,-0.7,0.03
2,chicagobulls,philadelphia76ers,93,88,5,Chicago,-6.5,182.5,0,0,1201,2.8,-0.16,3.49,1.5,-2.5,4.0,-1.7,0.06,-0.02,0.0,-0.01,1.1,4.5,0.06,-0.02,-0.5,0.2,0.01
3,houstonrockets,utahjazz,124,116,8,Houston,-6.5,206.5,1,1,1201,-1.9,-0.16,3.39,3.0,-0.7,3.7,5.2,0.03,0.14,0.03,0.03,1.1,-2.4,0.02,0.0,-0.5,2.0,-0.03
4,neworleanshornets,oklahomacitythunder,79,100,-21,OklahomaCity,8.5,193.5,0,0,1201,-2.0,0.81,-12.27,-6.7,7.5,-14.2,-4.8,-0.09,-0.02,-0.05,-0.04,-0.4,2.5,-0.09,0.05,-0.4,1.0,0.01
5,milwaukeebucks,bostonceltics,91,88,3,Milwaukee,-3.0,195.5,1,0,1201,-2.7,0.07,-1.21,0.5,1.9,-1.4,3.0,-0.03,0.02,-0.03,-0.03,-1.4,7.8,-0.03,0.01,0.2,-2.0,-0.01
6,sanantoniospurs,memphisgrizzlies,99,95,4,SanAntonio,-6.0,196.5,0,0,1201,1.6,0.09,2.35,3.4,1.3,2.1,5.8,-0.0,0.1,0.05,0.06,0.7,-10.5,0.0,0.01,-1.5,0.6,-0.03
7,dallasmavericks,detroitpistons,92,77,15,Dallas,-7.0,195,1,0,1201,4.2,0.7,4.09,2.1,-1.6,3.7,3.3,-0.04,0.02,0.02,0.02,-1.3,-6.5,-0.01,-0.01,0.2,0.1,0.02
8,goldenstatewarriors,indianapacers,103,92,11,GoldenState,-5.0,188.5,1,1,1201,-0.4,1.11,-2.02,2.1,5.7,-3.6,4.3,-0.04,-0.01,0.02,0.03,-0.3,-4.9,-0.02,0.03,-0.5,0.9,0.01
9,laclippers,sacramentokings,116,81,35,LAClippers,-12.5,196.5,1,1,1201,3.2,-0.64,10.69,4.4,-7.8,12.2,-2.5,0.01,0.02,0.03,0.04,0.5,2.2,-0.01,-0.03,1.8,2.5,0.0
10,newyorkknicks,phoenixsuns,106,99,7,NewYork,-11.5,199.5,0,1,1202,3.3,-1.21,9.48,9.9,-1.8,11.7,-3.6,0.02,0.14,0.04,0.04,-2.6,-1.4,0.02,-0.0,0.6,2.8,0.01
11,lalakers,orlandomagic,103,113,-10,LALakers,-13.5,197.5,0,1,1202,6.1,0.46,8.6,6.2,-2.5,8.7,2.2,0.15,0.08,0.03,0.03,0.2,1.6,0.09,-0.01,0.1,-0.3,-0.03
12,charlottebobcats,portlandtrailblazers,112,118,-6,Portland,1,192,0,1,1203,0.0,-0.71,-6.76,-4.3,2.3,-6.6,0.1,0.06,-0.07,-0.03,-0.04,-0.7,0.4,0.04,0.01,0.7,-2.2,0.01
13,detroitpistons,clevelandcavaliers,89,79,10,Cleveland,5,192,1,0,1203,1.2,-0.15,0.54,-0.5,-1.3,0.8,-1.5,0.02,-0.01,0.01,0.01,1.3,0.2,-0.0,-0.02,-1.3,0.4,-0.02
14,neworleanshornets,milwaukeebucks,102,81,21,Milwaukee,4,188.5,1,0,1203,-2.4,1.08,-1.29,2.1,4.9,-2.8,-6.2,0.01,-0.01,0.02,0.01,1.3,1.3,0.02,0.03,-1.3,3.1,0.01
15,denvernuggets,torontoraptors,113,110,3,Denver,-10.5,201,0,1,1203,0.7,0.76,7.33,4.5,-2.4,6.9,4.7,0.03,-0.03,0.02,0.03,0.6,5.9,0.0,-0.01,0.7,-1.6,-0.05
16,utahjazz,laclippers,104,105,-1,LAClippers,2,197,1,1,1203,-2.5,0.4,-6.13,-3.9,3.2,-7.1,-0.2,-0.01,-0.06,-0.02,-0.03,-0.1,0.0,0.01,0.01,-1.4,-0.3,-0.0
17,goldenstatewarriors,orlandomagic,94,102,-8,GoldenState,-9.5,196,0,1,1203,0.7,0.56,8.44,4.8,-3.6,8.4,2.3,0.06,0.02,0.03,0.02,0.3,0.0,0.05,-0.02,0.6,0.9,0.02
18,philadelphia76ers,minnesotatimberwolves,88,105,-17,Philadelphia,-3.0,187.5,0,1,1204,-1.2,-0.71,-1.68,-0.9,0.3,-1.2,-1.8,-0.1,-0.01,-0.01,0.01,-1.3,-2.5,-0.08,-0.02,-1.3,-0.6,0.01
19,washingtonwizards,miamiheat,105,101,4,Miami,10,194.5,1,1,1204,-4.9,0.59,-9.81,-12.1,-0.7,-11.4,1.5,-0.04,-0.06,-0.08,-0.08,0.5,2.4,-0.03,-0.0,-1.1,1.6,0.01
20,brooklynnets,oklahomacitythunder,111,117,-6,OklahomaCity,4,195,0,1,1204,2.6,-0.47,-7.9,-4.2,3.6,-7.8,-4.5,-0.04,0.03,-0.04,-0.03,-0.4,4.2,-0.06,0.03,-0.4,0.3,-0.02
21,chicagobulls,indianapacers,76,80,-4,Chicago,-4.0,180.5,0,0,1204,2.3,0.36,-3.36,-0.8,3.4,-4.2,-0.9,-0.03,-0.06,-0.01,-0.01,-0.7,-0.9,-0.02,0.02,0.3,-1.0,0.01
22,houstonrockets,lalakers,107,105,2,LALakers,1,215,1,0,1204,-6.3,-0.1,2.21,1.9,-0.5,2.4,1.7,-0.04,0.05,0.02,0.01,1.0,-0.6,-0.01,0.01,1.6,0.9,0.03
23,memphisgrizzlies,phoenixsuns,108,98,10,Memphis,-10.0,196,1,1,1204,0.1,-0.53,10.07,3.7,-7.8,11.5,-5.0,0.03,-0.04,0.0,-0.01,-1.0,4.0,0.03,-0.04,1.0,2.4,0.0
24,charlottebobcats,newyorkknicks,98,100,-2,NewYork,7.5,198,1,1,1205,-5.8,0.44,-13.02,-9.6,5.2,-14.8,1.7,0.05,-0.14,-0.04,-0.06,1.5,0.1,0.04,0.02,-1.6,-3.6,-0.02
25,indianapacers,portlandtrailblazers,99,92,7,Indiana,-4.0,186.5,1,1,1205,1.3,-1.34,5.87,-1.5,-9.4,7.9,-1.2,0.04,-0.04,-0.01,-0.02,0.4,5.0,0.03,-0.06,0.4,1.3,0.01
26,bostonceltics,minnesotatimberwolves,104,94,10,Boston,-5.5,193,1,1,1205,2.7,-0.94,1.21,0.2,-2.1,2.3,-1.1,-0.04,-0.01,0.03,0.03,0.3,-7.3,-0.02,-0.03,-0.8,-0.7,0.03
27,detroitpistons,goldenstatewarriors,97,104,-7,GoldenState,1,192.5,0,1,1205,0.0,-0.76,-5.65,-2.6,2.6,-5.2,-3.7,0.03,-0.02,-0.02,-0.02,0.3,2.9,-0.0,0.02,0.7,-2.5,-0.0
28,atlantahawks,denvernuggets,108,104,4,Atlanta,-2.0,199.5,1,1,1205,1.0,-0.76,-5.45,-5.6,-0.7,-4.9,-2.5,-0.06,0.07,-0.0,0.0,0.6,-9.2,-0.04,0.0,-0.1,1.8,-0.01
29,clevelandcavaliers,chicagobulls,85,95,-10,Chicago,3,182.5,0,0,1205,-3.9,0.14,-4.85,0.8,6.2,-5.4,3.0,0.01,0.04,0.0,0.0,-0.6,-1.3,-0.0,0.05,1.2,-1.0,0.02
30,neworleanshornets,lalakers,87,103,-16,LALakers,4.5,196,0,0,1205,-6.7,0.43,-4.6,-2.1,3.5,-5.6,-5.9,-0.1,-0.08,-0.02,-0.02,0.1,2.2,-0.05,0.02,1.2,0.1,0.04
