,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,clevelandcavaliers,bostonceltics,89,95,-6,Cleveland,-5.0,183.5,0,1,1027,-1.4,-0.07,2.8,3.5,0.3,3.2,-0.2,0.01,0.02,0.01,0.01,-1.1,2.3,-0.0,-0.01,-2.6,3.4,-0.03
1,dallasmavericks,washingtonwizards,91,102,-11,Dallas,-8.5,210,0,0,1027,3.1,-0.12,7.38,5.0,-3.1,8.1,0.9,-0.01,0.04,0.03,0.03,-1.6,-3.3,0.01,-0.01,0.8,1.3,-0.03
2,portlandtrailblazers,houstonrockets,96,87,9,Portland,-9.0,188,1,0,1027,0.6,-0.48,3.2,3.2,-0.9,4.1,-6.3,0.02,-0.05,0.01,0.01,-1.1,1.3,0.02,-0.01,-0.3,1.0,0.0
3,lalakers,laclippers,99,92,7,LALakers,-12.0,202,0,0,1027,1.1,-0.28,10.79,5.5,-6.4,11.9,0.2,0.01,0.01,0.01,0.01,-2.4,0.5,0.01,-0.03,1.0,0.4,-0.02
4,atlantahawks,indianapacers,120,109,11,Atlanta,-7.5,206,1,1,1028,-0.1,-0.12,7.55,8.2,-0.1,8.3,-7.0,-0.01,-0.06,0.01,0.01,-2.4,6.6,-0.02,0.01,-0.2,-0.3,-0.05
5,torontoraptors,clevelandcavaliers,101,91,10,Cleveland,7.5,194,1,0,1028,-2.8,0.31,-8.0,0.1,9.1,-9.0,1.7,-0.02,-0.04,-0.01,-0.01,-0.7,-0.4,-0.0,0.03,-0.5,-4.3,0.03
6,orlandomagic,philadelphia76ers,120,106,14,Orlando,-10.0,194.5,1,1,1028,2.5,-0.34,11.05,5.3,-7.0,12.3,0.4,0.07,0.14,0.04,0.04,-0.1,-3.0,0.04,-0.04,-1.6,4.2,-0.03
7,bostonceltics,charlottebobcats,92,59,33,Boston,-10.0,183,1,0,1028,2.0,-0.12,2.07,3.3,1.0,2.3,1.2,-0.01,0.02,0.03,0.03,-0.6,-3.7,-0.01,-0.0,0.2,-0.4,0.06
8,miamiheat,newyorkknicks,115,93,22,Miami,-5.0,206,1,1,1028,1.7,-0.1,6.0,-1.0,-7.5,6.5,-4.4,0.04,-0.09,-0.01,-0.01,-0.2,2.6,0.02,-0.05,0.6,2.8,0.04
9,oklahomacitythunder,sacramentokings,102,89,13,OklahomaCity,-6.5,204.5,1,0,1028,-0.9,-0.24,7.61,3.0,-5.3,8.3,-0.9,0.05,-0.02,0.02,0.0,0.3,0.8,0.06,-0.02,1.4,0.1,-0.01
10,sanantoniospurs,neworleanshornets,113,96,17,SanAntonio,-9.5,187.5,1,1,1028,1.2,-0.21,7.34,2.6,-5.6,8.2,-0.9,0.05,0.0,0.01,0.01,0.2,2.0,0.03,-0.04,-1.4,2.5,0.01
11,minnesotatimberwolves,newjerseynets,95,93,2,NewJersey,2,194,1,0,1028,-0.7,0.35,-0.13,1.1,1.1,0.0,4.7,-0.03,-0.01,0.01,0.02,0.9,1.6,-0.03,0.01,-0.3,1.8,-0.01
12,memphisgrizzlies,detroitpistons,74,96,-22,Detroit,1.5,191,0,0,1028,-2.6,0.04,3.63,2.7,-1.5,4.2,5.1,0.02,-0.03,0.02,0.02,0.9,1.0,0.01,-0.01,-1.0,-0.1,-0.06
13,laclippers,phoenixsuns,107,109,-2,Phoenix,2.5,217,1,0,1028,-1.2,0.57,-10.68,-12.0,-0.1,-11.9,-2.7,-0.03,-0.04,-0.06,-0.06,1.2,-0.5,-0.03,0.02,0.6,3.2,-0.01
14,goldenstatewarriors,houstonrockets,107,108,-1,GoldenState,-5.5,213,0,1,1028,-0.9,-0.03,-3.26,0.5,3.7,-3.2,6.4,0.0,-0.03,0.02,0.02,-0.1,-6.0,0.01,0.01,1.5,-5.3,0.04
15,denvernuggets,utahjazz,114,105,9,Denver,-5.0,208.5,1,1,1028,2.1,0.07,-1.18,1.1,2.5,-1.4,1.0,0.04,0.04,-0.0,-0.01,-1.5,-0.7,0.04,0.0,-0.4,-3.2,-0.02
16,chicagobulls,sanantoniospurs,92,85,7,SanAntonio,3.5,193,1,0,1029,-2.5,0.02,-6.71,-6.5,0.8,-7.3,1.4,-0.01,-0.08,-0.03,-0.04,0.4,-0.2,-0.0,0.0,0.2,-1.5,-0.0
17,portlandtrailblazers,denvernuggets,94,97,-3,Portland,-7.0,201,0,0,1029,-1.1,-0.19,-0.97,-1.0,-0.4,-0.6,-7.1,-0.06,-0.01,-0.01,-0.01,-0.6,2.1,-0.04,0.01,-0.5,2.4,-0.03
18,charlottebobcats,newyorkknicks,102,100,2,Charlotte,-1.5,196,1,1,1030,2.0,0.02,5.31,-3.2,-8.8,5.6,-3.6,0.09,-0.1,-0.01,-0.02,2.1,3.0,0.06,-0.04,1.4,2.1,-0.01
