,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,orlandomagic,goldenstatewarriors,112,133,-21,GoldenState,10.5,228.5,0,1,1201,-3.2,0.09,-10.71,-8.4,2.5,-10.9,-1.5,-0.0,0.0,-0.06,-0.06,-0.8,-1.0,-0.01,0.02,0.2,-0.7,0.0
1,washingtonwizards,detroitpistons,109,91,18,Detroit,0,204.5,1,0,1201,1.0,0.05,0.79,2.1,1.4,0.7,0.4,0.03,-0.02,0.02,0.01,1.0,0.8,0.03,-0.0,-0.1,-1.4,0.04
2,torontoraptors,indianapacers,120,115,5,Toronto,-7.0,217.5,0,1,1201,-0.4,-0.29,6.11,4.3,-2.2,6.5,1.4,0.03,0.09,0.02,0.01,-0.2,0.3,0.03,-0.03,-1.2,1.5,0.04
3,chicagobulls,sacramentokings,106,107,-1,Sacramento,1,195.5,1,1,1201,-2.0,-0.19,-0.24,0.1,-0.2,0.3,3.4,0.02,0.07,0.0,-0.01,-0.2,-0.9,0.02,0.0,-1.1,3.0,-0.01
4,memphisgrizzlies,sanantoniospurs,79,95,-16,SanAntonio,3.5,192.5,0,0,1201,-3.3,0.39,-8.7,-3.4,6.2,-9.6,-0.1,0.01,0.04,-0.0,-0.01,1.8,-1.3,0.01,0.02,0.6,-2.1,0.09
5,miamiheat,charlottehornets,105,100,5,Miami,-2.0,205,1,1,1201,-0.1,-0.14,0.08,-2.6,-2.8,0.2,-2.8,-0.08,0.04,0.0,0.01,1.9,-0.7,-0.06,-0.03,0.7,-1.7,0.05
6,oklahomacitythunder,minnesotatimberwolves,111,107,4,OklahomaCity,-5.5,208.5,0,1,1201,0.2,-0.12,1.07,-2.7,-3.9,1.2,0.7,-0.01,0.08,-0.02,-0.01,1.0,3.3,-0.03,-0.01,0.8,1.0,0.0
7,utahjazz,neworleanspelicans,114,108,6,NewOrleans,3.5,205,1,1,1201,-0.9,-0.01,2.99,-1.2,-4.4,3.2,-4.8,0.02,0.04,-0.01,-0.01,0.4,1.5,0.02,-0.01,1.5,3.1,0.01
8,bostonceltics,phoenixsuns,116,111,5,Boston,-12.0,217,0,1,1202,1.0,-0.92,12.03,4.1,-8.9,13.0,-4.3,-0.03,0.04,0.02,0.02,-0.9,-1.0,-0.01,-0.04,1.1,1.9,-0.02
9,dallasmavericks,laclippers,108,82,26,Dallas,-4.5,209,1,0,1202,0.7,0.23,-2.85,-4.0,-0.7,-3.3,-3.1,-0.08,0.07,-0.02,-0.01,-1.6,-5.5,-0.06,0.01,0.3,2.8,-0.01
10,brooklynnets,atlantahawks,102,114,-12,Brooklyn,-4.5,217,0,0,1202,-0.3,-0.08,1.63,1.9,0.0,1.9,0.6,0.02,0.05,0.0,0.0,-0.5,-0.1,0.02,-0.02,-2.6,0.8,0.02
11,clevelandcavaliers,memphisgrizzlies,116,111,5,Cleveland,-11.5,205.5,0,1,1202,4.6,-0.74,6.4,8.4,0.9,7.5,3.1,0.02,0.06,0.04,0.05,-1.4,-2.3,0.01,0.01,-1.6,0.8,-0.09
12,philadelphia76ers,detroitpistons,108,103,5,Philadelphia,-4.0,213,1,0,1202,-0.1,-0.09,4.56,2.3,-2.3,4.6,3.6,0.04,0.01,0.03,0.02,2.3,2.6,0.03,-0.03,-1.1,0.1,0.05
