,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,bostonceltics,miamiheat,88,80,8,Miami,1,188,1,0,1026,0.5,0.17,-1.93,-5.5,-3.2,-2.3,-0.5,-0.06,-0.06,-0.01,-0.01,1.0,-4.1,-0.04,-0.01,2.2,-0.8,0.01
1,portlandtrailblazers,phoenixsuns,106,92,14,Portland,-7.0,204,1,0,1026,-2.9,-0.11,2.31,-0.7,-3.3,2.6,-6.5,-0.01,-0.04,-0.03,-0.04,-0.6,5.8,0.01,-0.0,2.3,0.4,0.02
2,lalakers,houstonrockets,112,110,2,LALakers,-6.5,195,0,1,1026,3.7,-0.29,3.64,-0.3,-4.7,4.4,-3.5,-0.01,-0.04,-0.01,-0.0,0.0,1.8,-0.01,-0.02,0.2,-0.4,-0.04
3,clevelandcavaliers,bostonceltics,95,87,8,Boston,4.5,185,1,0,1027,-2.9,0.68,-13.71,-4.0,11.5,-15.5,2.6,0.01,0.04,-0.04,-0.05,-1.1,3.1,-0.0,0.06,-2.1,-1.4,-0.02
4,torontoraptors,newyorkknicks,93,98,-5,Toronto,-1.0,214.5,0,0,1027,-0.8,0.31,-6.76,-4.8,2.8,-7.6,-2.7,-0.01,-0.14,-0.03,-0.02,1.1,4.0,-0.03,0.01,-0.8,0.1,0.01
5,philadelphia76ers,miamiheat,87,97,-10,Miami,8,192,0,0,1027,-4.3,0.21,-5.75,-5.1,1.5,-6.6,0.8,-0.09,-0.05,-0.04,-0.03,-1.2,-0.6,-0.07,0.01,0.9,-1.0,0.01
6,newjerseynets,detroitpistons,101,98,3,NewJersey,-4.0,188,0,1,1027,-2.4,0.14,-2.5,-4.6,-1.8,-2.8,0.7,0.0,0.01,-0.02,-0.02,0.9,-1.3,0.01,-0.02,-2.0,2.1,0.01
7,oklahomacitythunder,chicagobulls,106,95,11,OklahomaCity,-6.5,193,1,1,1027,-2.7,0.81,-2.72,2.9,6.9,-4.0,2.3,0.06,-0.0,0.02,0.0,-0.4,-2.0,0.07,0.03,-0.7,-2.6,0.01
8,neworleanshornets,milwaukeebucks,95,91,4,NewOrleans,-3.0,189,1,0,1027,-0.4,0.56,2.3,4.6,2.7,1.9,-1.1,0.01,-0.02,0.03,0.03,-0.2,0.4,0.01,0.02,-0.3,1.4,-0.02
9,minnesotatimberwolves,sacramentokings,116,117,-1,Minnesota,-3.5,205,0,1,1027,-1.0,0.13,-1.17,0.7,2.1,-1.4,1.3,-0.0,0.04,0.01,0.0,0.7,-0.3,0.01,0.0,-0.4,-0.7,0.02
10,memphisgrizzlies,atlantahawks,104,119,-15,Memphis,-2.0,192.5,0,1,1027,-2.2,0.48,3.65,1.5,-1.9,3.4,2.6,0.02,-0.09,-0.01,-0.01,-0.5,5.5,0.01,0.01,3.4,-2.1,0.02
11,sanantoniospurs,indianapacers,122,109,13,SanAntonio,-8.5,204,1,1,1027,2.9,0.46,7.24,7.0,-0.4,7.4,-2.4,-0.0,0.02,0.03,0.04,-1.3,-1.0,-0.01,0.0,-0.2,0.5,-0.05
12,dallasmavericks,charlottebobcats,101,86,15,Dallas,-7.0,183,1,1,1027,4.0,0.26,8.49,6.3,-2.8,9.1,1.7,-0.03,0.09,0.04,0.04,-0.5,-1.6,-0.01,-0.01,0.1,-0.4,-0.02
13,denvernuggets,utahjazz,110,88,22,Denver,-3.0,209.5,1,0,1027,0.5,-0.34,6.25,4.2,-2.8,7.0,4.6,0.05,0.07,0.03,0.03,-0.4,-3.1,0.04,-0.01,-1.1,3.7,-0.05
14,laclippers,portlandtrailblazers,88,98,-10,Portland,2.5,192,0,0,1027,-2.1,0.1,-4.56,-3.5,1.6,-5.1,4.9,0.05,0.0,0.0,0.01,2.5,-1.1,0.01,-0.01,-2.6,1.2,0.02
15,goldenstatewarriors,houstonrockets,132,128,4,GoldenState,-3.5,217,1,1,1027,-1.3,0.14,-4.37,-3.1,1.7,-4.8,0.6,-0.06,-0.02,-0.01,0.01,1.0,-0.7,-0.06,0.01,1.9,-3.4,0.04
16,orlandomagic,washingtonwizards,112,83,29,Orlando,-13.5,191,1,1,1028,2.7,-0.65,12.22,5.5,-8.2,13.7,-2.6,0.04,0.16,0.04,0.05,0.4,-1.9,0.01,-0.04,-1.1,6.4,-0.03
17,utahjazz,phoenixsuns,94,110,-16,Utah,-7.5,209.5,0,0,1028,-2.8,-0.04,-0.98,-1.4,-0.3,-1.1,-3.4,0.03,-0.08,-0.01,-0.02,0.3,3.3,0.03,-0.01,0.7,0.1,0.06
