,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,torontoraptors,neworleanspelicans,130,122,8,Toronto,-6.5,229.5,1,1,1022,1.2,-1.0,6.52,0.4,-6.9,7.3,-2.8,0.01,0.02,0.01,-0.0,-0.8,-2.9,0.02,-0.03,2.2,-1.1,-0.01
1,laclippers,lalakers,112,102,10,LALakers,3.5,224,1,0,1022,-2.1,-0.28,0.38,1.9,1.3,0.6,0.6,0.02,0.02,0.0,-0.01,-0.7,-1.0,0.03,-0.01,-1.9,-1.2,0.0
2,charlottehornets,chicagobulls,126,125,1,Chicago,3.5,216.5,1,1,1023,-0.1,0.65,-3.03,-0.4,3.5,-3.9,-3.9,0.02,0.0,-0.01,-0.01,-0.4,1.1,0.01,0.0,-3.2,-1.2,-0.08
3,indianapacers,detroitpistons,110,119,-9,Indiana,-7.0,211,0,1,1023,-0.3,0.49,6.01,1.0,-4.7,5.7,1.3,-0.04,-0.06,0.0,0.01,-1.8,-2.6,-0.02,-0.03,0.3,0.8,0.01
4,orlandomagic,clevelandcavaliers,94,85,9,Orlando,-9.5,211.5,0,0,1023,1.1,-0.03,6.84,1.0,-5.9,6.9,-0.1,0.03,0.0,-0.01,-0.02,-3.1,-2.3,0.03,-0.03,1.5,1.7,0.01
5,brooklynnets,minnesotatimberwolves,126,127,-1,Brooklyn,-3.5,229,0,1,1023,1.5,-0.72,3.01,0.8,-2.7,3.5,-2.0,-0.01,-0.01,0.0,0.01,0.1,1.1,-0.01,-0.03,-2.2,0.6,-0.03
6,miamiheat,memphisgrizzlies,120,101,19,Miami,-6.5,213,1,1,1023,1.8,-0.51,3.5,3.3,-0.8,4.1,-4.5,0.06,0.07,0.03,0.02,0.3,-2.7,0.05,0.0,-0.1,1.7,-0.0
7,philadelphia76ers,bostonceltics,107,93,14,Philadelphia,-5.5,214.5,1,0,1023,1.0,0.34,-3.58,-2.0,2.0,-4.0,-0.5,-0.0,-0.03,-0.0,0.0,0.5,0.0,-0.01,0.01,-1.0,2.9,-0.0
8,dallasmavericks,washingtonwizards,108,100,8,Dallas,-9.0,220,0,0,1023,1.0,0.5,10.11,5.8,-3.8,9.6,-3.4,-0.01,0.1,0.02,0.02,-1.0,1.0,-0.01,-0.03,-3.3,2.4,-0.06
9,sanantoniospurs,newyorkknicks,120,111,9,SanAntonio,-11.0,214.5,0,1,1023,3.1,0.72,6.07,5.9,0.5,5.4,1.9,-0.0,0.0,0.04,0.03,-1.4,-5.7,0.03,0.0,-0.7,0.9,-0.03
