,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,charlottehornets,dallasmavericks,97,87,10,Charlotte,-12.0,192.5,0,0,1201,-1.1,-0.66,2.46,3.2,-0.2,3.4,3.5,0.05,-0.03,0.01,-0.0,-0.9,1.8,0.05,-0.01,-2.3,2.0,-0.05
1,brooklynnets,milwaukeebucks,93,111,-18,Milwaukee,5.5,215,0,0,1201,0.4,0.25,-6.29,-5.0,1.4,-6.4,6.8,0.01,0.08,-0.01,-0.02,1.5,-1.9,0.02,-0.01,-2.0,0.7,-0.0
2,clevelandcavaliers,laclippers,94,113,-19,Cleveland,-3.5,215,0,0,1201,-0.8,-0.44,-1.55,0.9,2.1,-1.2,0.1,-0.04,0.07,0.01,0.01,0.6,0.4,-0.03,0.01,-0.7,-1.1,-0.04
3,memphisgrizzlies,orlandomagic,95,94,1,Orlando,4,191,1,0,1201,4.2,0.51,7.57,4.0,-3.4,7.4,-4.5,0.03,0.02,0.01,0.0,0.0,3.2,0.04,-0.02,1.7,0.1,0.06
4,utahjazz,miamiheat,110,111,-1,Utah,-6.5,186.5,0,1,1201,0.3,0.35,3.23,1.8,-1.4,3.2,-3.6,0.04,0.01,0.02,0.01,0.8,-1.0,0.04,-0.0,-0.8,2.5,-0.03
5,goldenstatewarriors,houstonrockets,127,132,-5,GoldenState,-11.5,232.5,0,1,1201,0.8,-0.36,5.51,0.9,-5.0,5.9,-0.2,-0.04,-0.1,0.01,0.02,-0.1,-1.8,-0.03,-0.03,0.3,-0.9,0.0
6,philadelphia76ers,orlandomagic,88,105,-17,Orlando,0,198.5,0,0,1202,-0.7,-0.1,0.78,-0.5,-1.6,1.1,1.7,0.01,0.05,0.01,0.01,2.8,0.8,0.01,-0.01,1.6,-2.1,0.03
7,bostonceltics,sacramentokings,97,92,5,Boston,-6.0,210.5,0,0,1202,-2.0,-0.97,5.54,3.9,-2.9,6.8,1.9,-0.01,0.1,0.01,0.01,-1.5,0.2,0.0,-0.03,-0.3,-1.0,-0.0
8,newyorkknicks,minnesotatimberwolves,118,114,4,Minnesota,2.5,210.5,1,1,1202,3.3,-0.67,-3.23,-3.1,-0.5,-2.6,1.4,-0.05,0.03,-0.02,-0.01,-0.5,-0.6,-0.04,-0.02,-1.5,-1.8,0.0
9,torontoraptors,lalakers,113,80,33,Toronto,-9.5,214,1,0,1202,1.0,-1.14,9.94,6.3,-5.2,11.5,-3.8,0.03,-0.01,0.02,0.02,-1.7,0.0,0.04,-0.04,0.5,0.5,0.01
10,atlantahawks,detroitpistons,85,121,-36,Atlanta,-1.5,199.5,0,1,1202,2.5,-0.21,0.06,-1.1,-1.4,0.3,2.4,0.08,0.05,0.02,0.01,3.3,-0.5,0.06,-0.01,1.7,-5.1,-0.02
11,chicagobulls,clevelandcavaliers,111,105,6,Cleveland,1.5,209,1,1,1202,-2.3,-0.08,-2.84,-6.2,-3.3,-2.9,-0.9,-0.02,-0.14,-0.05,-0.06,-0.3,5.1,0.0,-0.01,1.0,1.0,-0.01
12,neworleanspelicans,laclippers,96,114,-18,LAClippers,4,205.5,0,1,1202,-4.3,0.28,-6.11,-7.5,-0.8,-6.7,1.9,-0.06,-0.02,-0.04,-0.03,-0.3,-3.0,-0.04,0.0,0.3,-0.1,-0.03
