,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,torontoraptors,denvernuggets,98,112,-14,Toronto,-2.0,201,0,1,1201,-0.4,-1.44,3.95,2.8,-2.9,5.7,-6.3,0.0,0.01,0.01,0.0,-0.8,-0.3,0.02,-0.01,1.3,0.4,0.0
1,detroitpistons,philadelphia76ers,115,100,15,Detroit,-8.0,206.5,1,1,1201,1.3,-0.27,6.53,6.5,-0.2,6.7,-4.3,0.03,-0.04,0.0,0.01,-1.9,6.6,0.01,-0.0,-1.1,1.0,-0.03
2,laclippers,indianapacers,100,105,-5,Indiana,1,191,0,1,1201,0.9,1.07,3.64,8.0,5.5,2.5,3.4,0.06,0.06,0.03,0.04,-1.6,0.1,0.03,0.02,0.9,-4.3,0.03
3,miamiheat,charlottebobcats,99,98,1,Miami,-11.5,189,0,1,1201,5.1,0.06,5.04,7.3,2.0,5.3,-1.2,0.0,0.07,0.07,0.07,2.9,-1.3,0.01,0.02,3.2,-4.6,0.03
4,sacramentokings,goldenstatewarriors,113,115,-2,GoldenState,4.5,201,1,1,1201,-1.4,0.48,-7.23,-1.8,6.2,-8.0,-1.8,0.08,-0.07,-0.02,-0.03,0.1,2.7,0.07,0.04,-0.9,0.3,0.01
5,oklahomacitythunder,minnesotatimberwolves,113,103,10,OklahomaCity,-8.5,209,1,1,1201,-0.1,-0.11,3.56,1.6,-2.3,3.9,-1.9,-0.02,0.03,0.03,0.03,1.8,-0.9,-0.01,-0.03,-0.9,1.2,0.04
6,newyorkknicks,neworleanspelicans,99,103,-4,NewYork,-1.5,198.5,0,1,1201,4.0,-1.34,0.58,1.1,-1.0,2.1,-1.9,-0.04,0.11,0.0,0.01,-0.4,-1.8,-0.03,-0.0,0.4,0.5,-0.0
7,lalakers,portlandtrailblazers,108,114,-6,Portland,3.5,206.5,0,1,1201,1.0,0.51,-9.77,-7.3,3.2,-10.5,3.8,-0.01,0.0,-0.01,0.0,1.3,-7.8,-0.02,0.03,1.4,-3.7,-0.0
8,washingtonwizards,orlandomagic,98,80,18,Washington,-7.0,194,1,0,1202,1.7,-0.35,6.36,4.3,-2.8,7.1,-0.4,-0.01,0.01,0.01,0.02,-0.3,2.8,-0.01,0.0,2.0,0.2,0.01
9,chicagobulls,neworleanspelicans,128,131,-3,Chicago,-7.0,191,0,1,1202,4.3,-1.39,3.18,-4.7,-9.6,4.9,-2.0,0.0,0.03,-0.02,-0.02,1.3,0.3,0.01,-0.04,0.1,1.6,-0.06
10,sanantoniospurs,atlantahawks,102,100,2,SanAntonio,-12.0,199,0,1,1202,1.4,0.68,8.88,4.6,-4.0,8.6,0.4,-0.03,-0.06,0.02,0.02,-0.8,1.7,-0.02,-0.03,-1.2,2.0,-0.01
11,utahjazz,houstonrockets,109,103,6,Houston,7.5,202,1,1,1202,-0.9,0.41,-11.33,-7.5,5.0,-12.5,-4.9,-0.12,-0.09,-0.05,-0.05,-0.7,-1.9,-0.07,0.03,-0.4,0.4,0.03
12,portlandtrailblazers,indianapacers,106,102,4,Indiana,0,191.5,1,1,1202,-1.4,1.22,0.81,7.4,8.1,-0.7,2.4,-0.02,0.06,0.01,0.01,-1.9,3.1,-0.01,0.03,-1.9,-2.1,-0.0
13,philadelphia76ers,orlandomagic,126,125,1,Philadelphia,-3.5,206,0,1,1203,-1.2,0.23,-4.78,-2.3,2.5,-4.8,5.6,0.01,0.02,-0.01,-0.01,0.9,2.4,-0.0,0.02,1.9,-3.1,0.03
14,bostonceltics,milwaukeebucks,108,100,8,Boston,-7.0,185.5,1,1,1203,0.7,-0.28,3.44,-0.1,-4.1,4.0,1.5,-0.03,0.02,-0.0,-0.0,0.1,0.3,-0.01,-0.01,0.2,2.8,0.0
15,brooklynnets,denvernuggets,87,111,-24,Denver,4.5,203.5,0,0,1203,4.0,-1.33,-0.18,0.7,-0.5,1.2,-6.7,0.01,0.02,0.02,0.02,0.1,-5.8,0.01,0.01,2.1,-2.2,0.0
16,miamiheat,detroitpistons,97,107,-10,Miami,-9.0,200,0,1,1203,5.9,-0.13,8.28,5.0,-3.9,8.9,-3.7,0.0,0.07,0.08,0.07,1.7,-10.8,0.03,-0.01,2.0,-0.4,-0.01
17,memphisgrizzlies,phoenixsuns,110,91,19,Memphis,-2.5,191.5,1,1,1203,2.3,0.22,-0.84,-3.2,-2.1,-1.1,-5.9,-0.04,-0.13,-0.03,-0.03,-0.9,1.9,-0.04,0.0,-0.1,2.0,-0.04
18,dallasmavericks,charlottebobcats,89,82,7,Dallas,-8.0,195.5,0,0,1203,5.1,1.17,3.8,7.6,4.9,2.7,1.1,-0.04,0.06,0.04,0.04,1.0,2.7,-0.02,0.02,2.2,-4.9,0.05
19,sacramentokings,oklahomacitythunder,95,97,-2,OklahomaCity,8.5,201,1,0,1203,-1.3,0.5,-8.74,-4.8,4.9,-9.7,-1.0,0.03,-0.05,-0.03,-0.04,-0.1,1.3,0.01,0.02,-1.2,1.0,0.01
20,goldenstatewarriors,torontoraptors,112,103,9,GoldenState,-8.0,202,1,1,1203,0.7,1.03,2.6,-1.3,-2.7,1.4,4.4,-0.06,0.01,0.01,0.02,0.6,-2.1,-0.05,-0.02,-0.5,1.4,-0.01
21,clevelandcavaliers,denvernuggets,98,88,10,Denver,3.5,201,1,0,1204,-1.1,-1.32,-2.46,-1.8,-0.5,-1.3,-5.0,-0.04,-0.04,-0.02,-0.02,-1.0,-0.3,-0.02,0.01,0.2,1.3,-0.03
22,atlantahawks,laclippers,107,97,10,LAClippers,2.5,203.5,1,1,1204,-0.6,-0.7,-8.15,-6.2,1.6,-7.8,-1.3,-0.09,0.03,-0.01,-0.01,1.6,-4.0,-0.05,0.03,0.2,1.9,-0.03
23,houstonrockets,phoenixsuns,88,97,-9,Houston,-10.0,212,0,0,1204,-0.8,0.11,2.04,1.5,-0.4,1.9,0.5,0.09,0.03,0.01,0.01,0.6,1.0,0.05,-0.01,-1.4,0.4,-0.04
24,milwaukeebucks,detroitpistons,98,105,-7,Detroit,4.5,192.5,0,1,1204,0.0,0.25,-4.28,-2.9,2.1,-5.0,-3.1,-0.02,0.01,0.01,-0.0,1.2,-4.3,0.01,0.0,-0.6,-2.0,0.01
25,neworleanspelicans,dallasmavericks,97,100,-3,NewOrleans,-2.5,208,0,0,1204,-6.3,0.23,-4.89,-4.0,1.4,-5.4,-1.3,0.03,-0.08,-0.03,-0.03,0.2,2.3,0.02,0.0,-1.2,1.1,0.02
26,utahjazz,indianapacers,86,95,-9,Indiana,8.5,186,0,0,1204,-2.7,1.68,-9.9,-0.6,12.0,-12.6,-1.1,-0.02,0.0,-0.01,-0.01,-0.4,0.6,-0.02,0.06,-0.8,-2.3,0.03
27,portlandtrailblazers,oklahomacitythunder,111,104,7,Portland,-2.5,205.5,1,1,1204,-0.4,0.13,-2.22,1.0,3.5,-2.5,-0.5,-0.03,0.02,-0.02,-0.02,-1.6,1.5,-0.02,0.0,-2.9,-0.9,-0.03
28,brooklynnets,newyorkknicks,83,113,-30,NewYork,1.5,189.5,0,1,1205,1.7,0.03,-0.18,-1.6,-1.4,-0.2,1.1,0.07,-0.0,0.01,0.01,1.6,-3.4,0.05,-0.01,0.9,-2.0,-0.01
29,memphisgrizzlies,laclippers,81,101,-20,LAClippers,1.5,192.5,0,0,1205,0.4,0.31,-5.09,-5.8,-0.2,-5.6,-6.0,-0.1,-0.12,-0.04,-0.03,0.4,3.3,-0.07,0.01,0.0,3.2,-0.02
