,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,philadelphia76ers,sanantoniospurs,103,109,-6,SanAntonio,11.5,195,1,1,1201,-6.6,-0.21,-15.38,-13.0,2.8,-15.8,1.9,0.03,0.05,-0.06,-0.06,2.9,2.1,-0.01,0.01,1.9,-4.3,0.04
1,washingtonwizards,miamiheat,107,86,21,Washington,-4.5,190.5,1,1,1201,0.1,-0.23,3.09,-0.2,-3.7,3.5,2.8,-0.05,-0.06,-0.01,-0.0,-0.5,1.7,-0.04,-0.02,-1.3,3.9,-0.0
2,utahjazz,denvernuggets,101,103,-2,Denver,4,206,1,0,1201,-3.0,0.01,3.78,0.6,-3.3,3.9,-5.7,0.02,-0.01,0.01,0.01,1.9,2.5,0.01,-0.01,-0.2,1.6,-0.04
3,laclippers,minnesotatimberwolves,127,101,26,LAClippers,-15.0,216,1,1,1201,4.4,-0.57,14.8,9.5,-6.7,16.2,0.3,-0.01,0.14,0.05,0.07,-2.1,-3.8,-0.03,-0.04,-0.7,4.1,0.04
4,clevelandcavaliers,milwaukeebucks,111,108,3,Cleveland,-10.5,201,0,1,1202,2.3,0.12,4.17,8.4,4.1,4.3,-1.8,0.03,0.11,0.02,0.02,-2.1,1.4,0.02,0.01,-3.3,1.4,-0.04
5,atlantahawks,bostonceltics,109,105,4,Atlanta,-7.0,211,0,1,1202,2.8,-0.12,5.15,4.2,-1.4,5.6,-1.9,0.03,0.04,0.04,0.04,1.0,-3.3,0.03,-0.0,1.2,-1.6,-0.02
6,detroitpistons,lalakers,96,106,-10,Detroit,-2.0,206.5,0,0,1202,-1.1,-1.06,4.78,1.9,-4.2,6.1,-1.2,-0.01,0.07,0.0,0.01,0.2,2.3,-0.02,-0.02,1.1,-1.3,-0.04
7,newyorkknicks,brooklynnets,93,98,-5,Brooklyn,1,193.5,0,0,1202,-1.7,0.07,-6.37,-4.5,2.6,-7.1,-1.5,-0.03,0.0,-0.02,-0.02,1.0,0.6,-0.02,0.01,0.4,-0.6,0.05
8,chicagobulls,dallasmavericks,129,132,-3,Chicago,-1.5,203.5,0,1,1202,-1.1,-0.92,-0.82,-2.0,-2.1,0.1,-2.4,0.04,-0.03,-0.01,-0.03,1.0,3.4,0.04,-0.03,-3.4,2.2,-0.02
9,neworleanspelicans,oklahomacitythunder,112,104,8,OklahomaCity,3.5,197,1,1,1202,-0.1,0.06,-1.34,0.4,1.8,-1.4,-4.3,-0.02,-0.03,0.01,0.01,-0.6,-1.8,-0.02,0.01,-0.7,-0.5,-0.02
