,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
0,neworleanspelicans,orlandomagic,101,84,17,NewOrleans,-9.5,196,1,0,1028,1.0,0.49,7.0,6.6000000000000085,-0.4000000000000057,7.0,-2.3999999999999915,0.033,-0.001999999999999974,0.013000000000000013,0.007000000000000006,-1.5,4.0,0.03,-0.018000000000000016,-1.9000000000000004,-0.9000000000000057,-0.014999999999999987
1,sanantoniospurs,dallasmavericks,101,100,1,SanAntonio,-6.0,206.5,0,0,1028,-0.09999999999999787,-0.32,2.98,-1.0,-4.400000000000006,3.4,-1.4000000000000057,-0.0060000000000000045,-0.02699999999999997,0.0050000000000000044,0.0020000000000000018,1.1999999999999993,-0.20000000000000284,0.003000000000000003,-0.019000000000000017,-1.3999999999999986,5.099999999999994,-0.013999999999999985
2,lalakers,houstonrockets,90,108,-18,Houston,6.5,209,0,0,1028,-0.6000000000000014,0.29000000000000004,-9.99,-3.5999999999999943,7.199999999999988,-10.8,-2.5,-0.035999999999999976,-0.172,-0.03500000000000003,-0.039000000000000035,-2.9000000000000004,-1.400000000000002,-0.019000000000000017,0.03200000000000003,-2.5,3.3999999999999915,0.02300000000000002
3,charlottehornets,milwaukeebucks,108,106,2,Charlotte,-9.0,192,0,1,1029,1.3999999999999986,0.25,-3.35,-2.6000000000000085,1.2999999999999972,-3.9,-1.0999999999999943,0.01100000000000001,0.003000000000000003,-0.038000000000000034,-0.04299999999999998,-4.300000000000002,-3.299999999999997,0.007000000000000006,0.0,-3.9,6.0,-0.033
4,indianapacers,philadelphia76ers,103,91,12,Indiana,-8.5,194,1,1,1029,5.100000000000001,-0.44,8.809999999999997,8.0,-1.5999999999999943,9.6,-2.5,-0.021999999999999964,-0.064,0.029000000000000026,0.02499999999999997,-2.9000000000000004,-1.5,0.0060000000000000045,-0.019000000000000017,-3.1999999999999997,4.900000000000006,-0.008000000000000007
5,torontoraptors,atlantahawks,109,102,7,Toronto,-5.5,199.5,1,1,1029,-1.6999999999999993,0.06000000000000005,-2.3,2.0999999999999943,4.6000000000000085,-2.5,-1.1000000000000083,0.035999999999999976,-0.019000000000000017,-0.009999999999999898,-0.019000000000000017,-1.5,4.200000000000003,0.031,0.014000000000000012,-1.5,-0.10000000000000853,0.022999999999999996
6,miamiheat,washingtonwizards,107,95,12,Miami,-4.5,194,1,1,1029,-0.10000000000000142,0.23000000000000004,-3.09,0.20000000000000284,3.700000000000003,-3.5,-2.799999999999997,0.04699999999999999,0.059000000000000004,0.0060000000000000045,0.0010000000000000009,0.5,-1.6999999999999993,0.035,0.024000000000000018,1.299999999999999,-3.899999999999992,0.003000000000000003
7,bostonceltics,brooklynnets,121,105,16,Brooklyn,1.5,191,1,1,1029,-3.6000000000000014,-0.31000000000000005,2.73,0.2999999999999972,-2.9000000000000057,3.2,3.0999999999999943,-0.034,0.040000000000000036,-0.0060000000000000045,-0.0020000000000000018,-0.5,0.8000000000000007,-0.024000000000000018,-0.012000000000000009,0.7999999999999989,1.2999999999999972,0.022999999999999996
8,newyorkknicks,chicagobulls,80,104,-24,Chicago,4,190,0,0,1029,-1.900000000000002,0.28,-12.04,-7.599999999999994,5.700000000000002,-13.3,-1.5999999999999943,-0.06999999999999998,-0.029000000000000026,-0.028000000000000025,-0.019000000000000017,1.0999999999999996,-2.5,-0.058,0.039000000000000035,2.0,-1.3000000000000114,0.05200000000000002
9,memphisgrizzlies,minnesotatimberwolves,105,101,4,Memphis,-8.5,198,0,1,1029,5.200000000000003,-0.41,11.62,2.799999999999997,-10.0,12.8,-2.4000000000000057,-0.032999999999999974,0.0050000000000000044,0.014000000000000012,0.020999999999999963,-1.0999999999999996,-1.900000000000002,-0.025999999999999995,-0.04500000000000004,0.5999999999999996,3.700000000000003,-0.0040000000000000036
